Frequency,Amplitude
38.976,5.0948899596692
39.072,5.412410525772031
39.168,6.239602536810621
39.264,6.980290492798635
39.36,7.892438229915183
39.456,9.485193918702642
39.552,11.680520291516146
39.648,14.270193556204989
39.744,19.8186994427375
39.84,31.891489473266457
39.936,78.60201780855803
40.032000000000004,167.99821839074787
40.128,40.50804798252757
40.224000000000004,22.99452467039987
40.32,16.01540533456721
40.416000000000004,12.309373482061378
40.512,10.437005821919337
40.608000000000004,8.650338270424202
40.704,7.184557929744289
40.800000000000004,6.757540916897865
40.896,5.814212233741957
40.992,5.063328612555876
79.488,5.557985365635912
79.584,6.893038181053652
79.68,9.169027579502725
79.776,12.88371029902476
79.872,22.094020344380702
79.968,84.36583129945764
80.06400000000001,50.13131336649749
80.16,18.46125220337664
80.256,12.395117842340772
80.352,8.410148561021218
80.44800000000001,6.467338063907989
80.544,5.5325250837983155
120.0,90.26494717826363
159.936,9.410202968946377
160.032,19.445166346950522
160.12800000000001,6.079786943557362
199.96800000000002,9.347693600910564
200.064,5.990732235315264
240.0,26.058060173390228
280.032,11.363188259070135
360.0,6.099697607690749
